artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
FSPEC-001,build/packet/family-spec.csv,design_table,design_table,pending_measurement,,none,true,"Family rows with stopped-pipe assumptions and measurement-required provenance; must be corrected from prototype data before L3."
TABLE-001,build/design-tables/chalumeau-family-design-table.xlsx,design_table,design_table,pending_measurement,FSPEC-001,derived_from_authority,true,"Excel design table for family review; not measured build authority until soprano prototype corrections are folded back."
SWCSV-001,build/cad/solidworks-design-table.csv,design_table,design_table,pending_measurement,TABLE-001,derived_from_authority,true,"SolidWorks-ready design table; requires CAD rebuild and shop review before fabrication authority."
SCAD-001,build/cad/chalumeau_family_master.scad,cad,fabrication_geometry,pending_measurement,SWCSV-001,derived_from_authority,true,"OpenSCAD starter source exists, but no measured prototype or reviewed CAD release is recorded."
SWVAR-001,build/cad/solidworks-global-variables.md,cad,cnc_reference,pending_measurement,SWCSV-001,derived_from_authority,true,"SolidWorks variable convention and globals; source/reference for future CAD review."
SVG-001,build/drawings/chalumeau-family-sheet.svg,svg_preview,derived_preview,pending_measurement,SWCSV-001,derived_from_authority,false,"Family drawing preview; useful for review but not released fabrication authority."
SVG-002,build/drawings/chalumeau-soprano-c4-dimensioned.svg,svg_preview,derived_preview,pending_measurement,SWCSV-001,derived_from_authority,false,"Soprano C drawing preview; hole positions require undersize drilling, tuning, and measurement before acceptance."
SVG-003,build/drawings/keywork-lever-detail.svg,svg_preview,derived_preview,pending_measurement,build/hardware/keywork-parts.csv,derived_from_authority,false,"Keywork detail preview; seal/leak testing and shop review required."
PHOTO-001,assets/images/chalumeau1.jpg,photo_reference,photo_reference,reference_only,,none,false,"Attributed Dudy.eu reference image; inspiration only, not Tony-owned shop evidence or dimensional authority."
PHOTO-002,assets/images/chalumeau5.jpg,photo_reference,photo_reference,reference_only,,none,false,"Attributed Dudy.eu close-up reference image; inspiration only, not dimensional authority."
PHOTO-003,assets/images/7173-372-1_1920x1080.avif,photo_reference,photo_reference,reference_only,,none,false,"Additional inspiration image; not fabrication authority."
HTML-001,explorer.html,render_preview,concept,concept_only,,none,false,"Studio review surface for packet navigation; not dimensional authority."
PPT-001,build/presentation/capstone-deck.pptx,drawing_pdf,story,concept_only,,none,false,"Presentation export for review/story; not fabrication authority."
PRINT-001,build/presentation/print-packet.pdf,drawing_pdf,visual_bom,derived_preview,FSPEC-001,derived_from_authority,false,"Printable packet export; shop-facing review derivative, not validated build authority."
TPL-001,build/data/reed-mouthpiece-capture-template.csv,measurement_template,measurement_template,pending_measurement,,none,true,"Blank capture template; becomes evidence only after real reed/mouthpiece measurements."
TPL-002,build/data/bore-trim-capture-template.csv,measurement_template,measurement_template,pending_measurement,,none,true,"Blank bore/root trim capture template; no measured values yet."
TPL-003,build/data/prototype-measurement-template.csv,measurement_template,measurement_template,pending_measurement,,none,true,"Blank pitch/response sweep template; no measured prototype data yet."
TPL-004,build/data/tuning-capture-template.csv,measurement_template,measurement_template,pending_measurement,,none,true,"Blank tone-hole tuning capture template; no measured tone-hole correction yet."
